name,number,street,city,state,zip,country,nhood,phone,employees,sales_vol,full_add
Shake Shack,92,Winthrop St,Cambridge,MA,02138,USA,Harvard Square,(617) 758-8495,6,336000,92 Winthrop St
Shay's Pub & Wine Bar,58,Jfk St,Cambridge,MA,02138,USA,Harvard Square,(617) 864-9161,17,951000,58 Jfk St
Shepard,1,Shepard St,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 714-5295,6,336000,1 Shepard St
Sheraton Commander Hotel,16,Garden St,Cambridge,MA,02138,USA,West Cambridge,(617) 547-4800,110,12547000,16 Garden St
Shilimar Of India Restaurant,546,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 547-9280,6,336000,546 Massachusetts Ave
Shilla Restaurant,57,Jfk St # 9,Cambridge,MA,02138,USA,Harvard Square,(617) 547-7971,8,448000,57 Jfk St # 9
Similans,145,1st St,Cambridge,MA,02142,USA,East Cambridge,(617) 982-0678,6,336000,145 1st St
Simons Coffee House,1736,Massachusetts Ave,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 497-7766,6,336000,1736 Massachusetts Ave
Sinclair,52,Church St,Cambridge,MA,02138,USA,Harvard Square,(617) 547-5200,6,336000,52 Church St
Singa Bella Cafe,2401,Massachusetts Ave,Cambridge,MA,02140,USA,North Cambridge,(617) 547-1002,3,168000,2401 Massachusetts Ave
Six Kids Inc,1,Kendall Sq # B1101,Cambridge,MA,02139,USA,Wellington - Harrington,(617) 225-0888,6,336000,1 Kendall Sq # B1101
Skampa,424,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(617) 354-0009,1,56000,424 Cambridge St
Sodexo,500,Kendall St,Cambridge,MA,02142,USA,Kendall Square,(617) 252-7570,6,336000,500 Kendall St
Sodexo,142,Memorial Dr,Cambridge,MA,02142,USA,Kendall Square,(617) 742-1460,6,336000,142 Memorial Dr
Sofra Bakery & Cafe,1,Belmont St,Cambridge,MA,02138,USA,East Watertown,(617) 661-3161,30,1678000,1 Belmont St
Sola,350,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 576-7652,8,448000,350 Massachusetts Ave
Sonesta Hotel,5,Cambridge Pkwy,Cambridge,MA,02142,USA,East Cambridge,(617) 806-4200,300,34218000,5 Cambridge Pkwy
Souper Roll Up Cafe,726,Cambridge St,Cambridge,MA,02141,USA,Wellington - Harrington,(617) 354-5810,2,112000,726 Cambridge St
Spice & Rice,1933,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(617) 864-4500,10,560000,1933 Massachusetts Ave
Spice Thai Cuisine,24,Holyoke St,Cambridge,MA,02138,USA,Harvard Square,(617) 868-9560,3,168000,24 Holyoke St
Squeaky Beaker Cafe,675,W Kendall St,Cambridge,MA,02142,USA,Kendall Square,(617) 679-0108,6,336000,675 W Kendall St
Starbucks,1662,Massachusetts Ave,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 491-0442,30,1678000,1662 Massachusetts Ave
Starbucks,1380,Massachusetts Ave,Cambridge,MA,02138,USA,Harvard Square,(617) 354-3726,15,839000,1380 Massachusetts Ave
Starbucks,750,Memorial Dr,Cambridge,MA,02139,USA,Cambridgeport,(617) 661-5817,12,671000,750 Memorial Dr
Starbucks,655,Massachusetts Ave,Cambridge,MA,02139,USA,Area IV,(617) 354-5471,18,1007000,655 Massachusetts Ave
Starbucks,468,Broadway # 1,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 491-9911,12,671000,468 Broadway # 1
Starbucks,220,Alewife Brook Pkwy,Cambridge,MA,02138,USA,Cambridge Highlands,(617) 876-1070,10,560000,220 Alewife Brook Pkwy
Starbucks,114,Bishop Richard Allen Dr,Cambridge,MA,02139,USA,Area IV,(617) 354-0940,15,839000,114 Bishop Richard Allen Dr
Starbucks,100,Cambridgeside Pl # E108,Cambridge,MA,02141,USA,,(617) 621-9740,10,560000,100 Cambridgeside Pl # E108
Starbucks,50,Broadway,Cambridge,MA,02142,USA,,(617) 494-6600,15,839000,50 Broadway
Starbucks,36,Jfk St # 10,Cambridge,MA,02138,USA,Harvard Square,(617) 492-4881,15,839000,36 Jfk St # 10
Starbucks,31,Church St,Cambridge,MA,02138,USA,Harvard Square,(617) 492-7870,17,951000,31 Church St
Starbucks,6,Cambridge Ctr,Cambridge,MA,02142,USA,Kendall Square,(617) 577-7511,20,1119000,6 Cambridge Ctr
State Park,1,Kendall Sq # B3001,Cambridge,MA,02139,USA,Wellington - Harrington,(617) 848-4355,10,678000,1 Kendall Sq # B3001
Stefani Pizzeria,263,Brookline St,Cambridge,MA,02139,USA,Cambridgeport,(617) 547-4588,3,168000,263 Brookline St
Stone Hearth Pizza-Cambridge,1782,Massachusetts Ave,Cambridge,MA,02140,USA,Neighborhood Nine,(617) 492-1111,10,560000,1782 Massachusetts Ave
SUBWAY,1105,Massachusetts Ave # 1,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 492-5351,3,168000,1105 Massachusetts Ave # 1
SUBWAY,77,Massachusetts Ave # W20-500,Cambridge,MA,02139,USA,Mit,(617) 324-7827,8,448000,77 Massachusetts Ave # W20-500
SUBWAY,36,Jfk St # 1,Cambridge,MA,02138,USA,Harvard Square,(617) 441-0011,8,448000,36 Jfk St # 1
Sugar & Spice,1933,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(617) 868-4200,6,336000,1933 Massachusetts Ave
Summer Shack Cambridge,149,Alewife Brook Pkwy,Cambridge,MA,02140,USA,North Cambridge,(617) 520-9500,50,2796000,149 Alewife Brook Pkwy
Sunset Cafe,851,Cambridge St,Cambridge,MA,02141,USA,Wellington - Harrington,(617) 547-2938,13,727000,851 Cambridge St
Super Fusion,1759,Massachusetts Ave,Cambridge,MA,02140,USA,Aggasiz - Harvard University,(617) 864-6299,6,336000,1759 Massachusetts Ave
Surya Indian Kitchen N Ctrng,114,Magazine St,Cambridge,MA,02139,USA,Cambridgeport,(617) 945-5489,2,112000,114 Magazine St
Sweet Touch Cafe,241,Cambridge St,Cambridge,MA,02141,USA,East Cambridge,(617) 491-4119,4,224000,241 Cambridge St
T W Food,377,Walden St,Cambridge,MA,02138,USA,Huron Village,(617) 864-4745,6,336000,377 Walden St
Table At Season To Taste,2447,Massachusetts Ave,Cambridge,MA,02140,USA,North Cambridge,(617) 871-9468,6,336000,2447 Massachusetts Ave
Taco Bell,100,Cambridgeside Pl # 129,Cambridge,MA,02141,USA,East Cambridge,(617) 621-0609,15,839000,100 Cambridgeside Pl # 129
Taco Truck,83,Mount Auburn St,Cambridge,MA,02138,USA,Harvard Square,(857) 829-3904,6,336000,83 Mount Auburn St
Tahaza Hummus Kitchen,1,Canal Park,Cambridge,MA,02141,USA,East Cambridge,(857) 259-6960,6,336000,1 Canal Park
Takemura Japanese Restaurant,18,Eliot St,Cambridge,MA,02138,USA,Harvard Square,(617) 492-6700,6,336000,18 Eliot St
Tanjore,18,Eliot St,Cambridge,MA,02138,USA,Harvard Square,(617) 868-1900,6,336000,18 Eliot St
Tanpopo,1815,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(617) 868-5457,4,224000,1815 Massachusetts Ave
Tasin & Coffee Express,766,Cambridge St,Cambridge,MA,02141,USA,Wellington - Harrington,(617) 714-5398,5,280000,766 Cambridge St
Tasty Burger,40,Jfk St,Cambridge,MA,02138,USA,Harvard Square,(617) 425-4444,6,336000,40 Jfk St
Tatte Bakery & Cafe,318,3rd St,Cambridge,MA,02142,USA,,(617) 354-4200,6,336000,318 3rd St
Tavern,720,Massachusetts Ave,Cambridge,MA,02139,USA,Riverside,(617) 868-9171,50,2796000,720 Massachusetts Ave
Tavern In The Square-Porter,1815,Massachusetts Ave # P6,Cambridge,MA,02140,USA,Porter Square,(617) 354-7766,12,671000,1815 Massachusetts Ave # P6
Tealuxe,0,Brattle St,Cambridge,MA,02138,USA,,(617) 441-0077,10,560000,0 Brattle St
Teavana,100,Cambridgeside Pl # E206,Cambridge,MA,02141,USA,East Cambridge,(617) 494-1023,6,638000,100 Cambridgeside Pl # E206
Temple Bar,1688,Massachusetts Ave,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 547-5055,50,2796000,1688 Massachusetts Ave
Thelonious Monkfish,524,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 441-2116,6,336000,524 Massachusetts Ave
Thistle & Shamrock,62,Walden St,Cambridge,MA,02140,USA,Porter Square,(617) 492-2522,1,56000,62 Walden St
Tisan Coffee Express,1722,Massachusetts Ave,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 945-1075,5,280000,1722 Massachusetts Ave
Tommy Doyle's Irish Pub-Rstrnt,1,Kendall Sq # B1101,Cambridge,MA,02139,USA,Wellington - Harrington,(617) 225-0888,12,671000,1 Kendall Sq # B1101
Tom's Bao Bao,84,Winthrop St,Cambridge,MA,02138,USA,Harvard Square,(617) 945-0067,6,0,84 Winthrop St
Tory Row,3,Brattle St,Cambridge,MA,02138,USA,Harvard Square,(617) 876-8769,20,1119000,3 Brattle St
Toscanini's Ice Cream,899,Main St,Cambridge,MA,02139,USA,Area IV,(617) 491-5877,48,2684000,899 Main St
Toscano Harvard Square,52,Brattle St # A-B,Cambridge,MA,02138,USA,Harvard Square,(617) 354-5250,6,336000,52 Brattle St # A-B
Trata,49,Mount Auburn St,Cambridge,MA,02138,USA,Harvard Square,(617) 349-1650,6,336000,49 Mount Auburn St
Trattoria Pulcinella,147,Huron Ave,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 491-6336,4,224000,147 Huron Ave
Tupelo-Cambridge,1193,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 868-0004,10,560000,1193 Cambridge St
Turnip LLC,91,Winthrop St,Cambridge,MA,02138,USA,Harvard Square,(617) 714-3206,25,1398000,91 Winthrop St
Uno Pizzeria & Grill,22,Jfk St,Cambridge,MA,02138,USA,Harvard Square,(617) 497-1530,70,3914000,22 Jfk St
Upperwest,1001,Massachusetts Ave,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 797-4112,6,336000,1001 Massachusetts Ave
Veggie Galaxy,450,Massachusetts Ave # 2,Cambridge,MA,02139,USA,Cambridgeport,(617) 497-1513,12,671000,450 Massachusetts Ave # 2
Viale,502,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 576-1900,6,336000,502 Massachusetts Ave
Village Kitchen,359,Huron Ave,Cambridge,MA,02138,USA,West Cambridge,(617) 491-3133,3,168000,359 Huron Ave
Wafuya,1815,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(781) 985-6668,6,336000,1815 Massachusetts Ave
Wagamama,57,Jfk St,Cambridge,MA,02138,USA,Harvard Square,(617) 499-0930,55,3075000,57 Jfk St
Wasabi At Porter LLC,2088,Massachusetts Ave,Cambridge,MA,02140,USA,North Cambridge,(857) 242-3950,6,336000,2088 Massachusetts Ave
West Bridge,1,Kendall Sq # B3102,Cambridge,MA,02139,USA,Wellington - Harrington,(617) 945-0221,6,336000,1 Kendall Sq # B3102
West Side Lounge,1680,Massachusetts Ave,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 441-5566,20,1119000,1680 Massachusetts Ave
Whitney's Cafe Inc,37,Jfk St,Cambridge,MA,02138,USA,Harvard Square,(617) 354-8172,6,322000,37 Jfk St
Whole Foods Market,340,River St,Cambridge,MA,02139,USA,Cambridgeport,(617) 876-6990,200,39466000,340 River St
Whole Foods Market,200,Alewife Brook Pkwy,Cambridge,MA,02138,USA,Cambridge Highlands,(617) 491-0040,260,51305000,200 Alewife Brook Pkwy
Whole Foods Market,115,Prospect St,Cambridge,MA,02139,USA,Mid-Cambridge,(617) 492-0070,100,19733000,115 Prospect St
Whole Foods Market Regl Office,125,Cambridgepark Dr # 5,Cambridge,MA,02140,USA,,(617) 492-5500,60,12868000,125 Cambridgepark Dr # 5
Windsor Inn,85,Windsor St # 87,Cambridge,MA,02139,USA,Area IV,(617) 838-8834,2,229000,85 Windsor St # 87
Wok N Roll Restaurant,1908,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(617) 497-8638,4,224000,1908 Massachusetts Ave
World One,575,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 661-6300,6,336000,575 Massachusetts Ave
Wrapro Falafel & Grille,1670,Massachusetts Ave,Cambridge,MA,02138,USA,Neighborhood Nine,(617) 876-0311,6,336000,1670 Massachusetts Ave
Yan 2000 LLC,1001,Massachusetts Ave,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 714-5985,6,336000,1001 Massachusetts Ave
Za Restaurant,350,3rd St,Cambridge,MA,02142,USA,Kendall Square,(617) 452-9292,10,560000,350 3rd St
Zephyr On The Charles,575,Memorial Dr,Cambridge,MA,02139,USA,Mit,(617) 441-6510,275,15375000,575 Memorial Dr
Zigo,600,Memorial Dr # W98,Cambridge,MA,02139,USA,Mit,(617) 715-5361,6,336000,600 Memorial Dr # W98
Zigo,157,6th St # 1,Cambridge,MA,02142,USA,,(617) 225-2223,15,839000,157 6th St # 1
Zinneken's,1154,Massachusetts Ave,Cambridge,MA,02138,USA,Riverside,(617) 876-0836,10,560000,1154 Massachusetts Ave
Zoe's,1105,Massachusetts Ave # 7,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 495-0055,8,448000,1105 Massachusetts Ave # 7
Zuzu,474,Massachusetts Ave,Cambridge,MA,02139,USA,Cambridgeport,(617) 864-3278,6,336000,474 Massachusetts Ave
